code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
002906,华阳集团,0.34,,,5.62,,13580.23,,,08-30
300691,联合光电,0.5,,,12.3,,5095.21,,,08-28
601869,长飞光纤,0.82,,,13.0,,56052.41,,,08-27
603192,汇得科技,0.66,,,11.1,0.57,5261.6,,,08-27
300504,天邑股份,0.44,,,13.45,,8908.48,,,08-25
603733,仙鹤股份,0.33,,,8.83,,18347.21,,,08-25
603666,亿嘉和,0.75,,,17.91,,3951.4,,,08-24
002899,英派斯,0.46,,,9.03,,4104.6,,,08-23
603013,亚普股份,0.4,,,8.75,,17828.43,,,08-23
603880,南卫股份,0.37,,,10.43,,2782.65,,,08-23
603657,春光科技,0.55,,,14.3,,3932.71,,,08-22
603259,药明康德,0.79,,,13.03,,74244.42,,,08-22
300747,锐科激光,1.47,,,38.68,,14098.33,,,08-21
603056,德邦股份,0.14,,,4.57,,11818.12,,,08-21
603916,苏博特,0.3,,,6.75,,6937.51,,,08-20
300454,深信服,0.31,,,8.99,,11058.66,,,08-20
603897,长城科技,0.58,,,11.88,,7822.27,,,08-18
603711,香飘飘,-0.08,,,-2.53,,-3050.81,,,08-17
603283,赛腾股份,0.28,,,10.29,,3377.4,,,08-16
300745,欣锐科技,0.36,,,4.94,,3082.12,,,08-15
601138,工业富联,,,,6.67,,532497.9,,,08-14
603650,彤程新材,0.28,,,13.49,,14803.25,,,08-14
300684,中石科技,-0.01,,,-0.13,,-42.42,,,08-10
601606,长城军工,0.02,,,0.72,-0.07,1092.63,,,07-17
603587,地素时尚,0.8,,,27.56,,27265.62,,,07-17
603713,密尔克卫,0.33,,5.89,5.96,0.03,3824.43,,,07-12
603680,今创集团,0.58,,4.56,13.58,-0.29,21900.96,,,01-31
603712,七一二,0.08,82.79,2.25,3.55,-0.16,5282.2,82.63,,01-30
002927,泰永长征,0.3,,4.55,6.36,-0.21,2083.15,,,01-30
603709,中源家居,0.66,,2.81,26.81,0.8,3988.31,,,01-25
603220,中贝通信,-0.03,,2.5,-1.02,-0.48,-650.14,,,01-23
603876,鼎胜新材,0.26,,,4.39,-0.87,9471.25,,,01-23
603871,嘉友国际,1.89,58.74,8.01,26.72,-0.01,11334.28,58.76,,01-23
603267,鸿远电子,0.74,,,11.89,0.13,9140.5,,,01-23
603156,养元饮品,2.02,-23.08,12.09,16.73,1.18,100029.05,-23.08,,01-22
603706,东方环宇,0.42,,,9.94,0.04,5008.09,,,01-19
603214,爱婴室,0.45,,4.46,10.53,0.98,3350.17,,,01-19
300634,彩讯股份,0.12,20.0,2.17,5.81,-0.23,4260.94,43.3,,01-17
603516,淳中科技,0.67,-48.06,3.53,18.77,0.11,4719.15,10.11,,01-15
300739,明阳电路,0.64,,5.11,12.56,0.71,5918.01,,,01-15
603773,沃格光电,1.41,1181.82,8.82,17.33,1.46,9976.6,1190.22,,01-12
002958,青农商行,0.22,10.0,3.23,7.19,0.69,111821.7,10.02,,01-10
603596,伯特利,0.33,-40.0,,14.01,0.07,12297.64,40.47,,01-09
300738,奥飞数据,0.67,28.85,4.9,14.61,0.75,3269.87,35.74,10派2.1,01-08
603895,天永智能,0.66,,4.62,15.3,0.22,3805.7,,,01-08
300737,科顺股份,0.24,-73.63,2.91,8.28,-0.06,10815.37,-40.14,,01-08
600968,海油发展,0.07,,,4.49,0.11,57321.79,,,01-05
603301,振德医疗,0.62,,,10.05,0.98,4629.95,,,01-05
603356,华菱精工,0.32,-15.79,3.05,10.54,0.49,3181.03,-15.56,,01-03
002931,锋龙股份,0.35,,2.96,12.64,0.65,2344.93,,,01-03
688098,申联生物,0.55,30.95,5.09,11.21,-0.65,5438.59,41.31,,12-29
603059,倍加洁,0.72,-14.29,,15.42,0.55,4334.09,-13.74,,12-29
603236,移远通信,0.73,-63.5,6.27,15.87,-0.57,4239.86,111.88,,12-29
300798,锦鸡股份,0.13,,2.08,6.2,0.05,4727.6,,,12-29
603327,福蓉科技,0.11,,1.29,8.53,0.52,3723.94,,,12-29
603786,科博达,0.39,,,14.67,0.2,13184.27,,,12-29
601698,中国卫通,0.04,,,1.39,0.16,12735.15,,,12-29
300767,震安科技,0.59,,6.93,8.85,0.13,3522.22,,,12-29
603687,大胜达,0.23,,2.23,10.99,0.2,7414.46,,,12-29
603115,海星股份,0.27,,4.17,6.45,0.34,4281.56,,,12-29
603687,大胜达,0.23,,2.23,10.99,0.2,7414.46,,,12-29
300767,震安科技,0.59,,6.93,8.85,0.13,3522.22,,,12-29
002932,明德生物,0.68,11.48,4.21,17.76,0.38,3413.39,12.2,,12-29
002957,科瑞技术,0.06,,3.27,1.75,-0.05,2307.44,,,12-29
603115,海星股份,0.27,,4.17,6.45,0.34,4281.56,,,12-29
600929,湖南盐业,0.11,,,4.94,0.04,8389.64,,,12-27
300799,左江科技,0.23,0.0,2.25,10.81,-0.25,1174.69,3.97,,12-27
300746,汉嘉设计,0.14,,3.55,3.96,0.06,2174.71,,,12-27
002925,盈趣科技,1.16,,2.99,44.83,1.19,44018.56,,,12-26
002929,润建股份,0.61,27.08,,10.21,-2.85,10174.8,34.14,,12-26
300736,百邦科技,0.51,-8.93,4.52,10.73,0.34,2095.09,-8.25,,12-26
300741,华宝股份,0.83,,8.88,9.84,0.98,46230.29,,,12-26
300779,惠城环保,0.41,,3.41,12.12,0.32,3048.34,,,12-22
603486,科沃斯,0.45,,2.93,16.79,0.34,16191.76,,,12-22
002956,西麦食品,0.62,,,12.58,0.63,3677.3,,,12-22
300674,宇信科技,-0.04,-180.0,2.72,-1.35,-1.08,-1329.25,-172.67,,12-20
300742,越博动力,0.57,850.0,10.67,5.34,-2.31,3367.38,881.0,,12-20
688029,南微医学,0.66,,,16.59,0.7,6634.42,,,12-19
601838,成都银行,0.51,,,7.4,4.19,165226.5,,,12-19
002935,天奥电子,0.31,,6.74,4.62,-0.46,2491.16,,,12-19
002923,润都股份,0.62,,5.93,10.98,0.6,4627.48,,,12-18
300664,鹏鹞环保,0.3,,5.31,5.82,0.09,12005.04,,,12-18
002951,金时科技,0.3,,,15.37,0.59,8888.22,,,12-15
300770,新媒股份,0.52,,5.18,10.51,0.84,4979.6,,,12-15
300624,万兴科技,0.58,,3.57,14.47,0.51,3466.78,,,12-13
002921,联诚精密,0.39,,,5.59,0.07,2366.92,,,12-13
603329,上海雅仕,0.36,,,9.55,-0.26,3565.92,,,12-12
002922,伊戈尔,0.39,,4.82,8.36,0.47,3836.01,,,12-12
603080,新疆火炬,0.35,-38.6,4.53,7.99,0.31,3687.89,-38.93,,12-12
300735,光弘科技,0.31,29.17,2.6,13.0,0.67,8200.0,46.0,,12-11
603655,朗博科技,0.21,,3.76,5.73,0.14,1673.81,,,12-11
300733,西菱动力,0.36,0.0,4.66,7.99,0.37,4294.21,-1.25,,12-06
300752,隆利科技,0.71,,4.15,18.63,0.35,3855.41,,,12-06
002920,德赛西威,0.79,,3.31,25.35,0.22,35753.42,,,12-05
002949,华阳国际,0.21,-12.5,,6.91,-0.18,2749.26,-9.5,,12-01
002918,蒙娜丽莎,1.03,,,14.29,2.09,12184.63,,,11-29
002919,名臣健康,0.37,,4.82,7.53,-1.0,2248.11,,,11-29
603045,福达合金,0.31,13.86,6.38,4.94,-0.91,2319.58,13.88,,11-28
603477,振静股份,0.15,,2.55,5.92,,2635.07,,,11-28
300732,设研院,1.26,231.58,12.68,10.16,0.19,6802.71,230.07,,11-28
603161,科华控股,0.57,3.64,,9.73,0.53,5737.24,3.97,,11-27
603351,威尔药业,1.21,,,13.01,0.78,6049.37,,,11-24
002950,奥美医疗,0.35,,2.69,12.14,0.29,13045.34,,,11-24
603890,春秋电子,0.74,,4.91,16.19,0.83,7554.48,,,11-21
002917,金奥博,0.36,-10.0,3.31,11.34,0.1,3012.0,89.74,,11-21
300731,科创新源,0.51,21.43,3.17,16.17,0.12,3333.77,21.09,,11-20
603619,中曼石油,0.58,16.0,,15.22,,21057.85,16.75,,11-16
300730,科创信息,-0.14,,2.32,-5.87,-1.15,-1001.3,,,11-14
603917,合力科技,0.44,,5.1,8.95,0.32,3718.22,,,11-14
002915,中欣氟材,0.28,,3.4,8.28,0.22,2320.05,,,11-14
603848,好太太,0.2,,1.89,11.03,0.32,7133.77,,,11-13
300729,乐歌股份,0.49,0.0,5.69,8.92,0.56,3140.58,2.25,,11-13
002913,奥士康,0.69,,7.75,9.28,0.96,7423.91,,,11-13
300789,唐源电气,0.64,,4.04,17.36,-0.71,2218.54,,,11-10
002953,日丰股份,0.21,10.53,2.57,8.47,-0.12,2697.11,8.56,,11-10
002938,鹏鼎控股,0.15,,5.12,3.05,0.35,28175.51,,,11-10
300750,宁德时代,0.97,,11.58,10.79,-0.32,185693.51,,,11-10
300644,南京聚隆,0.42,,8.07,4.99,0.52,2003.63,,,11-08
002912,中新赛克,0.72,,11.6,6.16,-0.61,3587.08,,,11-07
300740,御家汇,0.46,,3.6,13.49,0.87,5462.89,,,11-07
002912,中新赛克,0.72,,11.6,6.16,-0.61,3587.08,,,11-07
603685,晨丰科技,0.76,28.81,5.1,15.44,0.31,5703.06,28.25,,11-06
300763,锦浪科技,0.59,-35.87,2.74,23.58,-0.01,3529.38,281.2,,11-03
002911,佛燃能源,0.39,,3.05,12.03,0.51,19480.18,,,10-31
300771,智莱科技,0.61,,4.66,14.03,0.24,4581.01,,,10-31
603365,水星家纺,0.5,,4.65,10.94,-0.17,9901.79,,,10-31
603661,恒林股份,1.38,-18.82,10.02,14.82,1.08,10366.38,-18.91,,10-31
300783,三只松鼠,0.67,,2.07,35.57,1.62,24051.74,,,10-31
300726,宏达电子,0.27,,2.39,11.27,0.12,9553.62,,,10-31
603506,南都物业,0.6,,,14.84,0.56,3566.18,,,10-31
603076,乐惠国际,0.66,,7.37,9.36,0.2,3700.56,,,10-30
300723,一品红,0.59,,3.37,19.22,0.31,7087.06,,,10-30
601019,山东出版,0.37,,2.95,12.44,0.1,67528.69,,,10-30
600933,爱柯迪,0.32,-3.03,2.68,11.47,0.38,22519.2,-3.82,,10-30
300725,药石科技,0.58,20.83,5.04,12.15,0.32,3174.47,32.3,,10-30
603970,中农立华,0.64,,3.69,17.39,1.28,6445.41,,,10-30
300722,新余国科,0.25,,3.48,7.18,-0.29,1523.12,,,10-27
002864,盘龙药业,0.27,28.57,5.31,5.21,0.35,1753.57,30.62,,10-25
300755,华致酒行,0.8,,6.11,14.1,1.53,13966.54,,,10-25
300781,因赛集团,0.28,,3.35,8.29,0.05,1799.22,,,10-25
603605,珀莱雅,0.59,,4.33,14.71,1.03,8898.77,,,10-25
300743,天地数码,0.46,,2.87,16.5,0.35,2266.96,,,10-25
300717,华信新材,0.49,,5.96,8.52,0.57,2335.46,,,10-24
300721,怡达股份,0.51,-11.8,8.66,5.95,0.16,3072.2,-3.54,,10-24
300720,海川智能,0.26,,4.23,6.17,0.3,1400.48,,,10-24
603278,大业股份,0.44,4.76,4.04,11.32,0.13,6874.93,4.59,,10-23
601330,绿色动力,0.14,,2.09,6.93,0.02,14837.8,,,10-23
603949,雪龙集团,0.51,,1.98,29.41,-0.06,5719.06,,,10-23
603083,剑桥科技,0.57,,9.75,6.04,0.95,4196.25,,,10-23
300772,运达股份,0.09,,3.47,2.37,-2.38,1902.1,,,10-20
300719,安达维尔,-0.07,,3.1,-1.4,-1.01,-821.99,,,10-19
603809,豪能股份,0.98,,,9.51,1.12,7803.65,,,10-18
300716,国立科技,0.34,-5.56,5.96,5.95,0.82,2755.49,1.23,,10-18
002916,深南电路,1.2,122.22,8.71,14.78,2.76,25186.71,121.17,,10-17
603507,振江股份,0.73,,6.29,12.39,-0.2,6913.55,,,10-17
300718,长盛轴承,0.84,71.43,7.14,11.95,0.69,6275.3,70.96,,10-16
688020,方邦股份,0.65,,4.84,14.32,0.68,3876.66,,,10-16
603856,东宏股份,0.51,,6.06,8.63,0.07,7491.75,,,10-16
002928,华夏航空,0.48,,2.73,18.77,0.93,17166.13,,,10-13
300810,中科海讯,0.53,,5.7,9.7,0.19,3112.92,,,10-13
603937,丽岛新材,0.27,3.85,4.73,5.83,0.28,4201.71,3.85,,10-12
603912,佳力图,0.31,,2.66,12.19,-0.2,3483.46,,,10-12
300712,永福股份,0.36,,4.35,8.52,0.41,3734.02,,,10-11
300711,广哈通信,0.27,-12.9,2.43,11.13,-0.25,2957.92,-10.62,,10-11
300713,英可瑞,0.88,,6.57,14.44,0.37,3760.77,,,10-11
603289,泰瑞机器,0.26,,3.19,8.28,0.27,3928.45,,,10-10
002910,庄园牧场,0.27,0.0,5.61,4.85,0.59,3774.15,0.31,,10-10
300715,凯伦股份,0.35,12.9,3.03,11.93,-0.1,1869.86,12.29,,10-10
002946,新乳业,0.13,,1.44,10.0,0.05,9908.37,,,09-29
300778,新城市,0.7,,4.14,18.47,-0.22,4199.07,,,09-29
300787,海能实业,0.9,,6.01,15.69,1.32,5753.53,,,09-29
002909,集泰股份,0.19,,2.96,6.71,0.75,1725.31,,,09-28
603607,京华激光,0.63,61.54,4.91,13.6,1.19,4272.46,63.36,,09-28
603722,阿科力,0.38,-28.3,4.33,9.12,0.31,2457.42,-29.08,,09-27
603396,金辰股份,0.63,,8.04,8.16,-0.19,3567.46,,,09-27
300710,万隆光电,0.52,9.91,6.3,8.67,0.23,2674.71,9.91,,09-27
002907,华森制药,0.13,,1.41,9.52,0.14,4611.88,,,09-26
603683,晶华新材,0.24,,5.21,4.79,0.09,2325.27,,,09-25
603466,风语筑,0.84,,6.15,14.68,0.65,9092.89,,,09-25
002908,德生科技,0.23,,3.75,6.2,-0.41,2256.63,,,09-25
300766,每日互动,0.09,,2.13,4.39,0.03,3294.64,,,09-22
300709,精研科技,1.16,,6.5,17.82,2.21,7674.63,,,09-21
603829,洛凯股份,0.19,,2.71,7.07,0.35,2253.0,,,09-20
300707,威唐工业,0.73,,,16.04,,4323.25,,,09-20
002905,金逸影视,0.78,,7.67,10.76,1.39,9825.32,,,09-20
300708,聚灿光电,0.29,,2.66,11.39,0.46,5576.53,,,09-19
002903,宇环数控,0.63,,4.1,15.58,0.51,4731.18,,,09-18
603499,翔港科技,0.33,,3.77,9.2,0.78,2491.12,,,09-18
603110,东方材料,0.28,,3.96,7.06,0.46,2177.2,,,09-18
